index,id,created_at,text,author.id,author.created_at,author.username,author.location,author.public_metrics.followers_count,geo.full_name,public_metrics.like_count,public_metrics.retweet_count,sentiment
282,1082787302802366464,2019-01-08 23:53:04+00:00,"OMG. How to improve a non-chain #vegan pizza place.. adding Sgaia rashers 😍 Awesome job, @PizzeriaRomans https://t.co/PPWRc2e3m9",749352251219664896,2016-07-02T21:21:13.000Z,vegancruiser,"Scotland, UK",2707,,3,1,0.7906
283,1082787298692026368,2019-01-08 23:53:03+00:00,I would go to a taco place and get falafel. 🤷🏻‍♀️ #vegan #whataveganeats @ Crafted - the Art of the Taco https://t.co/KIZ6oFvnP8,2171481345,2013-11-07T00:10:50.000Z,Atallante_,"Archdale, NC",42,,0,0,0.0
285,1082787289896534019,2019-01-08 23:53:01+00:00,Vegan Chickpea Stew!! https://t.co/9nhZfSCJ8l https://t.co/AHcDYgPy5s,2419589545,2014-03-30T22:08:19.000Z,Connoisseurus,United States,2710,,2,0,0.0
286,1082787283500183559,2019-01-08 23:53:00+00:00,Plant Based Proteins and Super Foods: https://t.co/habzoPwt2X,827900767252123648,2017-02-04T15:24:59.000Z,SignedListSold,"Durham, Ontario",41,,0,0,0.5994
291,1082787232270843904,2019-01-08 23:52:48+00:00,"Starting this Monday, January 14 we’ll be open until 8:00PM Monday night through Friday night so you can enjoy dinner with us.....or to just relax and hang out with a coffee or non-alcoholic drink.\nOur regular menu plus a different vegan entree feature each night.\n#ComoxValley https://t.co/nxGUrdNk0w",3063960175,2015-03-06T03:26:13.000Z,MudsharksCoffee,"Courtenay, British Columbia",521,,1,0,0.7479
292,1082787225757274112,2019-01-08 23:52:46+00:00,@souloferen Ahhhh ça fait l'vegan mais quand ça commande nabab ça prend l'maxi,2809046865,2014-10-05T20:54:12.000Z,Puubert,,75,,0,0,0.0
297,1082787220375986178,2019-01-08 23:52:45+00:00,"Just went into #greggs and asked if there was any cross contamination with the #vegan sausage rolls,and they said ‘no there’s only one’ 🤔#Veganuary2019",963474259,2012-11-22T02:15:12.000Z,simontaxihall,,48,,2,0,0.0
299,1082787210817142786,2019-01-08 23:52:42+00:00,Honestly I AM Larry Feegan the Vegan,807476939460120576,2016-12-10T06:47:59.000Z,foxydads,"Apple Music, Spotify, etc.",1844,,1,0,0.4588
300,1082787210443788288,2019-01-08 23:52:42+00:00,This is how you eat #vegan #bolognese #babyboy #pachunku https://t.co/vZoPVx9gkD,38399377,2009-05-07T09:06:09.000Z,Misty_Hunt,"London, England",1140,,1,0,0.0
306,1082787155192221696,2019-01-08 23:52:29+00:00,Perfect #bushtuckericecream weather🏖👍 \n.\n.\n.\n.\n.\nTry our unique icecream flavours weekly at #adelaidefarmersmarket\n#sugarfree #dairyfree #fullcream #vegan #lactosefree\n#farmersmarket… https://t.co/2SxF7l9aRQ,157634230,2010-06-20T11:42:22.000Z,bticecream,Adelaide,70,"Lahaina, HI",0,1,0.5719
309,1082787151601913856,2019-01-08 23:52:28+00:00,"@cvntness Usa a minha a vontade, a minha tl parece vegan",791605569589239840,2016-10-27T11:40:49.000Z,frn_gameir0,,293,,1,0,0.0
311,1082787151186542593,2019-01-08 23:52:28+00:00,@kustoo Best vegan burger out. With Beyond Meat right behind that.,377838488,2011-09-22T05:57:32.000Z,Thee_Czar,Slauson Ave,344,,0,0,0.6369
